Geographic Area Name,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Alabama,663093.71,1136549.122,1128064.78,721674.039
Alaska,54205.677,141829.514,200852.467,128261.765
Arizona,721508.48,1235648.634,1711449.916,1112084.402
Arkansas,385385.702,758712.562,673580.946,390586.314
California,5333233.182,6101019.384,9046919.382,7560962.052
Colorado,421938.272,901082.832,1229835.844,1267043.704
Connecticut,323683.344,775876.752,751385.286,908405.235
Delaware,92015.412,220335.43,206434.311,174914.847
District of Columbia,62969.626,101887.672,104973.07,233355.632
Florida,2230083.647,4448898.061,4658416.01,3508175.91
Georgia,1183340.955,2145349.071,2125497.951,1770113.646
Hawaii,103065,319245.432,354232.704,282489.936
Idaho,140012.431,334021.207,417218.46,251392.563
Illinois,1299238.87,2680705.662,2977156.944,2751668.762
Indiana,680160.632,1722413.22,1476894.7,1009921.954
Iowa,229907.334,754791.577,803765.502,534725.802
Kansas,241376.2,591916.368,725152.9,573897.532
Kentucky,596331.244,1142980.722,958023.046,624691.68
Louisiana,638868.347,1166117.55,956666.906,664523.197
Maine,106204.52,362430.202,324107.954,261173.324
Maryland,540567.918,1167525.414,1249901.928,1472341.266
Massachusetts,566405.612,1348077.316,1377001.017,1848649.055
Michigan,889290.279,2299552.391,2621378.064,1733419.132
Minnesota,356147.762,1090871.968,1401109.552,1178801.718
Mississippi,425266.926,668987.748,733443.822,389481.966
Missouri,618806.412,1452279.186,1432228.635,1071360.918
Montana,70919.684,230769.908,267077.472,199435.59
Nebraska,139766.419,384014.149,490281.426,355815.322
Nevada,330411.861,621862.789,688538.92,400844.96
New Hampshire,94334.61,308222.43,318415.395,310930.32
New Jersey,812669.34,1994092.804,1720825.524,2211224.332
New Mexico,269930.354,414250.3,516445.461,346659.885
New York,2277052.82,4133330.756,4107630.12,4559816.332
North Carolina,1135654.394,2029139.971,2362950.632,1749570.003
North Dakota,49415.976,137879.486,205491.786,131173.656
Ohio,1100465.873,3054840.844,2663291.086,1995643.71
Oklahoma,408580.919,910427.74,926860.969,585289.937
Oregon,354121.958,754553.42,1087196.46,779189.048
Pennsylvania,1175359.809,3642954.126,2622061.503,2492735.391
Rhode Island,129986.007,223073.056,248194.155,228319.761
South Carolina,586560.545,1077511.66,1098669.805,795214.347
South Dakota,70620.16,188978.776,207470.031,147314.033
Tennessee,793359.613,1634777.097,1402230.722,1025053.177
Texas,3563508.546,4822091.622,5696199.072,4271995.638
Utah,194760.992,475405.386,751102.864,481205.789
Vermont,44235.868,157769.839,142506.439,151355.812
Virginia,827416.595,1607917.734,1808478.673,1927182.998
Washington,576212.582,1266957.398,1859476.421,1453760.942
West Virginia,245469.462,597624.458,383639.372,240556.708
Wisconsin,449983.557,1445725.035,1404834.48,1054850.472
Wyoming,37763.369,128496.592,168107.478,93374.561
Puerto Rico,813265.533,729733.595,713496.453,565548.486
,35454934.34,68041505.97,73507164.82,60978177.56
